,location,lat,lon,GHIs
135,USA_WV_Wheeling-Ohio__County__AP__724275_TMY3,40.18,-80.65,"[157786, 190847, 156647, 146816, 116068, 775102]"
136,USA_CA_Oakland__Intl__AP__724930_TMY3,37.72,-122.22,"[199709, 229187, 211314, 191253, 165363, 1005139]"
137,USA_TX_Wichita__Falls__723510_TMY2,33.97,-98.48,"[188560, 208811, 216002, 192303, 159385, 973265]"
138,USA_WY_Casper-Natrona__County__Intl__AP__725690_TMY3,42.9,-106.47,"[180862, 210969, 221831, 192202, 149263, 960650]"
139,USA_CA_Barstow-Daggett__723815_TMY2,34.87,-116.78,"[239229, 254297, 251711, 228477, 189454, 1170653]"
140,USA_NY_Rochester-Greater__Rochester__Intl__AP__725290_TMY,43.12,-77.67,"[150506, 171281, 179780, 148978, 111614, 768824]"
141,USA_KY_Henderson__City__County__AP__724238_TMY3,37.82,-87.68,"[198611, 174196, 212744, 188137, 146139, 924833]"
142,USA_PA_Philadelphia__Intl__AP__724080_TMY,40.2,-75.15,"[166434, 171510, 166336, 154449, 123621, 786383]"
143,USA_IA_Charles__City__Muni__AP__725463_TMY3,43.07,-92.62,"[121287, 185336, 179968, 150803, 140407, 781772]"
144,USA_ND_Bismarck__727640_TMY2,46.77,-100.75,"[185236, 198150, 207694, 176544, 128237, 899049]"
145,USA_KS_Dodge__City__724510_TMY2,37.77,-99.97,"[188361, 216010, 222449, 202534, 153133, 986848]"
146,USA_NV_Las__Vegas-McCarran__Intl__AP__723860_TMY3,36.08,-115.15,"[228285, 242720, 243371, 224887, 187216, 1135080]"
147,USA_AK_Adak__NAS__704540_TMY,51.88,-176.65,"[113012, 112256, 109737, 94838, 70786, 504259]"
148,USA_MN_Silver__Bay__Muni__AP__727556_TMY3,47.2,-91.4,"[185154, 172526, 179233, 131632, 114842, 791591]"
149,USA_OK_Stillwater__Rgnl__AP__723545_TMY3,36.15,-97.08,"[180944, 221009, 217609, 205438, 162908, 995990]"
150,USA_MA_Provincetown__AWOS__725073_TMY3,42.07,-70.22,"[146676, 155194, 191062, 168608, 117882, 785028]"
151,USA_UT_Salt__Lake__City__725720_TMY2,40.77,-111.97,"[205427, 219537, 231955, 209402, 157791, 1030492]"
152,USA_KY_Fort__Campbell__AAF__746710_TMY3,36.67,-87.48,"[154342, 163963, 199602, 162993, 126731, 811588]"
153,USA_ID_Boise__Air__Terminal__726810_TMY,43.57,-116.22,"[211049, 237040, 257690, 217945, 162228, 1094252]"
154,USA_GA_Warner__Robins__AFB__722175_TMY3,32.63,-83.6,"[159041, 175642, 188545, 182000, 138177, 850711]"
155,USA_CA_Twentynine__Palms__690150_TMY3,34.3,-116.17,"[247026, 255656, 244408, 235869, 183461, 1172156]"
156,USA_CO_La__Junta__Muni__AP__724635_TMY3,38.05,-103.53,"[193400, 227288, 234853, 201557, 146678, 1012003]"
157,USA_MA_Worcester__725095_TMY2,42.27,-71.87,"[165210, 177542, 187623, 161974, 124616, 823278]"
158,USA_MI_Mount__Clemens-Selfridge__ANGB__725377_TMY3,42.62,-82.83,"[152473, 165207, 181515, 139330, 126860, 773239]"
159,USA_HI_Kahului__911900_TMY2,20.9,-156.43,"[187725, 200848, 206747, 206544, 187420, 995765]"
160,USA_MO_St__Louis-Spirit__of__St__Louis__AP__724345_TMY3,38.65,-90.65,"[174323, 184750, 203548, 170621, 141738, 878795]"
161,USA_WV_Lewisburg-Greenbrier__Valley__AP__724127_TMY3,37.87,-80.4,"[131663, 159347, 160415, 142530, 124599, 721598]"
162,USA_VA_Franklin__Muni__AP__723083_TMY3,36.7,-76.9,"[144694, 163866, 209046, 171081, 142969, 835855]"
163,USA_MI_Saginaw-Tri__City__Intl__AP__726379_TMY3,43.53,-84.08,"[163349, 184709, 168028, 127261, 114382, 763778]"
164,USA_KS_Topeka__724560_TMY2,39.07,-95.63,"[175245, 194848, 196149, 180064, 139634, 889606]"
165,USA_SD_Pierre__Muni__AP__726686_TMY3,44.38,-100.28,"[173581, 203008, 211442, 176417, 139913, 911153]"
166,USA_MT_Havre__City-County__AP__727770_TMY3,48.55,-109.77,"[184200, 184021, 213692, 177109, 109632, 870230]"
167,USA_NJ_McGuire__AFB__724096_TMY,40.03,-74.7,"[166476, 168048, 171264, 155671, 119315, 788028]"
168,USA_ID_Salmon-Lemhi__AWOS__726865_TMY3,45.12,-113.88,"[176313, 226830, 217779, 191553, 137810, 958410]"
169,USA_CA_Barstow__Daggett__AP__723815_TMY,34.85,-116.78,"[247125, 259971, 258062, 231669, 190812, 1196333]"
170,USA_TX_Lufkin-Angelina__Co__AP__722446_TMY,31.23,-94.75,"[171052, 194483, 194190, 184364, 147399, 898578]"
171,USA_OH_Mansfield-Lahm__Muni__AP__725246_TMY3,40.82,-82.52,"[173715, 176120, 184055, 148699, 128092, 817148]"
172,USA_MS_McComb-Pike__Co__AP__722358_TMY3,31.23,-90.47,"[158036, 182936, 180952, 173611, 129013, 829444]"
173,USA_CO_Durango-La__Plata__County__AP__724625_TMY3,37.15,-107.75,"[215768, 246222, 208837, 192740, 161014, 1033343]"
174,USA_IN_Indianapolis__Intl__AP__724380_TMY,39.73,-86.27,"[165699, 177170, 171180, 157922, 124610, 801020]"
175,USA_ME_Brunswick__NAS__743920_TMY3,43.9,-69.93,"[173165, 138391, 173415, 158494, 114896, 764619]"
176,USA_CA_San__Diego-Miramar__NAS__722930_TMY3,32.87,-117.13,"[202000, 217593, 222890, 215913, 169530, 1034576]"
177,USA_MN_Minneapolis-St__Paul__Intl__AP__726580_TMY,44.88,-93.22,"[169140, 180658, 191381, 164708, 117929, 826610]"
178,USA_NE_Imperial__Muni__AP__725626_TMY3,40.52,-101.62,"[188772, 211351, 222909, 187009, 150751, 963598]"
179,USA_WA_Olympia__AP__727920_TMY,46.97,-122.9,"[149539, 165998, 197207, 165130, 111085, 794464]"
180,USA_SC_Greer__Greenville-Spartanburg__AP__723120_TMY3,34.9,-82.22,"[179473, 195816, 192477, 172655, 141280, 888337]"
181,USA_MT_Helena__727720_TMY2,46.6,-112.0,"[168640, 191644, 221714, 180543, 131657, 901979]"
182,USA_ID_Idaho__Falls-Fanning__Field__725785_TMY3,43.52,-112.07,"[192005, 219284, 240982, 203562, 149525, 1014120]"
183,USA_CA_San__Diego-Lindbergh__Field__722900_TMY,32.73,-117.17,"[188181, 189519, 214149, 205828, 160237, 964897]"
184,USA_WI_La__Crosse__Muni__AP__726430_TMY3,43.87,-91.25,"[173363, 185608, 185757, 162246, 121755, 836312]"
185,USA_CA_San__Diego-North__Island__NAS__722906_TMY3,32.7,-117.2,"[198665, 208488, 213172, 207780, 166385, 999962]"
186,USA_GA_Rome-Richard__B__Russell__AP__723200_TMY3,34.35,-85.17,"[192440, 192879, 199814, 168483, 118062, 875443]"
187,USA_AK_St__Paul__Island__AP__703080_TMY3,57.17,-170.22,"[98695, 108855, 104573, 77902, 60240, 456463]"
188,USA_IA_Clarinda__Muni__AP__725479_TMY3,40.72,-95.03,"[175397, 162596, 188983, 179901, 143853, 857688]"
189,USA_NE_Grand__Island-Central__Nebraska__Rgnl__AP__725520_TMY,40.97,-98.32,"[186525, 206491, 213325, 188428, 138488, 941618]"
190,USA_UT_Blanding__Muni__AP__724723_TMY3,37.62,-109.48,"[212665, 244684, 239706, 207173, 167144, 1077382]"
191,USA_MN_Wheaton__AWOS__727533_TMY3,45.7,-96.5,"[159681, 195389, 196287, 188745, 120479, 865881]"
192,USA_FL_Key__West__NAS__722015_TMY3,24.58,-81.68,"[180024, 190179, 188207, 184035, 163825, 911593]"
193,USA_LA_Alexandria-England__AFB__747540_TMY3,31.32,-92.55,"[177123, 200607, 200085, 189840, 157870, 931586]"
194,USA_TX_Victoria__722550_TMY2,28.85,-96.92,"[173685, 183398, 198688, 181990, 155654, 899927]"
195,USA_MN_International__Falls__Intl__AP__727470_TMY3,48.57,-93.4,"[165471, 172354, 181974, 144725, 105420, 773541]"
196,USA_PA_Lancaster__AP__725116_TMY3,40.12,-76.3,"[162574, 166047, 153987, 122747, 88437, 700486]"
197,USA_MI_Escanaba__AWOS__726480_TMY3,45.75,-87.03,"[162077, 196698, 194348, 151232, 115845, 827898]"
198,USA_IL_Sterling-Rock__Falls-Whiteside__County__AP__725326_TMY3,41.75,-89.67,"[169347, 216623, 191502, 152022, 127939, 864693]"
199,USA_AZ_Douglas-Bisbee__Douglas__Intl__AP__722735_TMY3,31.47,-109.6,"[230953, 243429, 195234, 191810, 169185, 1039213]"
200,USA_NC_Jacksonville__AWOS__723069_TMY3,34.83,-77.62,"[193990, 203769, 204670, 182702, 115331, 908334]"
201,USA_HI_Honolulu__Intl__AP__911820_TMY3,21.32,-157.93,"[188358, 194736, 202249, 203056, 174566, 970159]"
202,USA_AL_Mobile__722230_TMY2,30.68,-88.25,"[173935, 175762, 172010, 161911, 137847, 825878]"
203,USA_CA_Edwards__AFB__723810_TMY3,34.9,-117.87,"[224095, 250318, 234998, 221583, 181984, 1121251]"
204,USA_NV_Lovelock-Derby__Field__725805_TMY3,40.07,-118.55,"[187623, 238221, 244269, 216728, 166377, 1061215]"
205,USA_IA_Mason__City__725485_TMY2,43.15,-93.33,"[176991, 191747, 194455, 176908, 129268, 873781]"
206,USA_CT_Danbury__Muni__AP__725086_TMY3,41.37,-73.48,"[157023, 181071, 200294, 128008, 117789, 787113]"
207,USA_NE_McCook__Muni__AP__725625_TMY3,40.2,-100.58,"[192813, 201180, 216126, 202193, 141927, 960155]"
208,USA_IN_Lafayette-Purdue__University__AP__724386_TMY3,40.42,-86.93,"[134585, 160535, 177844, 172071, 124995, 777653]"
209,USA_NC_Raleigh-Durham__Intl__AP__723060_TMY,35.87,-78.78,"[164932, 176485, 179042, 163586, 128509, 819293]"
210,USA_WY_Evanston-Uinta__County__AP-Burns__Field__725775_TMY3,41.28,-111.03,"[208875, 234259, 225966, 205626, 142199, 1025902]"
211,USA_CT_Groton-New__London__AP__725046_TMY3,41.33,-72.05,"[162190, 161817, 157770, 148176, 103177, 740643]"
212,USA_OH_Akron__Canton__Rgnl__AP__725210_TMY3,40.92,-81.43,"[160329, 177519, 185003, 157788, 121815, 810283]"
213,USA_MS_Greenwood-Leflore__AP__722359_TMY3,33.5,-90.08,"[186410, 188167, 194811, 193216, 159918, 924663]"
